,,url,response
restaurant_url1,18,https://www.yelp.com/biz/causwells-san-francisco-5?start=20,<Response [200]>
restaurant_url1,19,https://www.yelp.com/biz/la-fusi%C3%B3n-san-francisco-2?start=20,<Response [200]>
restaurant_url1,20,https://www.yelp.com/biz/lol%C3%B3-san-francisco-4?start=20,<Response [200]>
restaurant_url1,21,https://www.yelp.com/biz/nopa-san-francisco?start=20,<Response [200]>
restaurant_url1,22,https://www.yelp.com/biz/ikes-place-san-francisco?start=20,<Response [200]>
restaurant_url1,23,https://www.yelp.com/biz/the-italian-homemade-company-san-francisco-4?start=20,<Response [200]>
restaurant_url1,24,https://www.yelp.com/biz/hopwater-distribution-san-francisco?start=20,<Response [200]>
restaurant_url1,25,https://www.yelp.com/biz/lord-george-san-francisco?start=20,<Response [200]>
restaurant_url1,26,https://www.yelp.com/biz/brew-bros-cafe-san-francisco-2?start=20,<Response [200]>
restaurant_url1,27,https://www.yelp.com/biz/birba-san-francisco?start=20,<Response [200]>
restaurant_url1,28,https://www.yelp.com/biz/mensho-tokyo-san-francisco-2?start=20,<Response [200]>
restaurant_url1,29,https://www.yelp.com/biz/hrd-san-francisco-2?start=20,<Response [200]>
restaurant_url1,30,https://www.yelp.com/biz/stones-throw-san-francisco-2?search_key=87727?start=20,<Response [200]>
restaurant_url1,31,https://www.yelp.com/biz/kitchen-story-san-francisco?search_key=87727?start=20,<Response [200]>
restaurant_url1,32,https://www.yelp.com/biz/ijji-sushi-san-francisco?search_key=87727?start=20,<Response [200]>
restaurant_url1,33,https://www.yelp.com/biz/garaje-san-francisco?search_key=87727?start=20,<Response [200]>
restaurant_url1,34,https://www.yelp.com/biz/the-italian-homemade-company-san-francisco-6?search_key=87727?start=20,<Response [200]>
restaurant_url1,35,https://www.yelp.com/biz/red-hill-station-san-francisco?search_key=87727?start=20,<Response [200]>
restaurant_url1,36,https://www.yelp.com/biz/firefly-restaurant-san-francisco-4?search_key=87727?start=20,<Response [200]>
restaurant_url1,37,https://www.yelp.com/biz/old-skool-cafe-san-francisco?search_key=87727?start=20,<Response [200]>
restaurant_url1,38,https://www.yelp.com/biz/fat-angel-san-francisco?search_key=87727?start=20,<Response [200]>
restaurant_url1,39,https://www.yelp.com/biz/frances-san-francisco?search_key=87727?start=20,<Response [200]>
restaurant_url1,40,https://www.yelp.com/biz/20-spot-san-francisco?start=20,<Response [200]>
restaurant_url1,41,https://www.yelp.com/biz/bacon-bacon-san-francisco-5?start=20,<Response [200]>
restaurant_url1,42,https://www.yelp.com/biz/the-flying-falafel-san-francisco-3?start=20,<Response [200]>
restaurant_url1,43,https://www.yelp.com/biz/zazie-san-francisco?start=20,<Response [200]>
restaurant_url1,44,https://www.yelp.com/biz/street-taco-san-francisco?start=20,<Response [200]>
restaurant_url1,45,https://www.yelp.com/biz/paprika-san-francisco?start=20,<Response [200]>
restaurant_url1,46,https://www.yelp.com/biz/pianofight-san-francisco?start=20,<Response [200]>
restaurant_url1,47,https://www.yelp.com/biz/rustys-southern-san-francisco?start=20,<Response [200]>
restaurant_url1,48,https://www.yelp.com/biz/bite-san-francisco?start=20,<Response [200]>
restaurant_url1,49,https://www.yelp.com/biz/beretta-san-francisco?start=20,<Response [200]>
