,reviewer name,n_frd,n_reviews
161,Audrey S., 3 friends, 162 reviews
162,Lincon P., 0 friends, 7 reviews
163,chub r., 0 friends, 6 reviews
164,Robin R., 0 friends, 3 reviews
165,Victoria S., 0 friends, 3 reviews
166,Linda C., 0 friends, 1 review
167,Mark C., 0 friends, 6 reviews
168,Christina A., 16 friends, 10 reviews
169,Nolim N., 0 friends, 55 reviews
170,Jesse D., 84 friends, 10 reviews
171,Sara E., 1 friend, 11 reviews
172,Jason M., 4 friends, 14 reviews
173,Tami Z., 2 friends, 80 reviews
174,Tiffany W., 4 friends, 1 review
175,Cynthia H., 9 friends, 8 reviews
176,Mal T., 0 friends, 1 review
177,Jerry W., 0 friends, 3 reviews
178,Alex F., 0 friends, 8 reviews
179,Victoria K., 0 friends, 1 review
180,Richard B., 0 friends, 8 reviews
181,Jeff Z., 0 friends, 5 reviews
182,Tory Z., 0 friends, 1 review
183,Justin R., 2 friends, 5 reviews
184,William K., 0 friends, 2 reviews
185,Kevin B., 0 friends, 2 reviews
186,Ernest B., 0 friends, 2 reviews
187,Ian L., 0 friends, 4 reviews
188,Amy N., 0 friends, 8 reviews
189,Megan S., 0 friends, 5 reviews
190,Amy B., 0 friends, 3 reviews
191,Carlos O., 0 friends, 2 reviews
192,Michelle L., 0 friends, 1 review
193,DaBA S., 0 friends, 3 reviews
194,H L., 0 friends, 13 reviews
195,Yahira C., 0 friends, 3 reviews
196,T D., 0 friends, 24 reviews
197,Adam A., 0 friends, 2 reviews
198,J C., 1 friend, 13 reviews
199,Cindy H., 0 friends, 1 review
200,Ashley S., 0 friends, 2 reviews
201,Dennis F., 0 friends, 1 review
202,JM S., 0 friends, 2 reviews
203,Melanie S., 30 friends, 21 reviews
204,Christina L., 0 friends, 5 reviews
205,Dan P., 0 friends, 8 reviews
206,jacob s., 1 friend, 46 reviews
207,Ziggy S., 2 friends, 83 reviews
208,stephen b., 0 friends, 2 reviews
209,Daniel D., 0 friends, 20 reviews
210,Anet B., 0 friends, 1 review
211,Amanda H., 0 friends, 9 reviews
212,Mahesh A., 0 friends, 21 reviews
213,Kristina N., 53 friends, 15 reviews
214,Danny R., 0 friends, 1 review
215,Lev N., 0 friends, 2 reviews
216,Marlon B., 0 friends, 61 reviews
217,Jake O., 0 friends, 12 reviews
